Grapheme	IPA	SCA	FREQUENCY	EXAMPLES
ɟ	ɟ	C	1	gɑ55ɟy33
ʣ	dz	C	237	ʣam1;-ʣwan1;ʣa2;ʣi2;C-ʣakH
ʥ	dʑ	C	170	*nʥi1;*nʥi2;*ʥo1;ʥi21;ʥi33
ʦ	ts	C	281	ʔ-mre1ʦa2;ʦaŋ1;C-nakHʦipL;ʔ-ʦam1kriŋ1;ʦe2
ʨ	tɕ	C	277	*ʨakH;*ʨiʔH;*ʨiʔH;xan31ʨin31;ʨoi55
ch	cʰ	C	5	ʔɪ21mɛ33chɛ33;chi21;ɑ55cha21;cha33;chy55
tʂ	ʈʂ	C	129	tʂo55;tʂo55kʐə31;ni31tʂua31;tʂua31ɕaŋ31;tʂap35
ʣh	dzʰ	C	2	nʣhi33;nʣho33
ʥh	dʑʰ	C	1	ȵi21nʥhi21
ʦh	tsʰ	C	465	*ʦhaŋ1;*ʦho1ɣri1;*na1ʦhi1;*ʔu1ʦham1;*ʦhut2
ʦʰ	tsʰ	C	8	ʦʰɝ22;ʦʰɔ33;ʦʰɿ55;ʦʰɿ55;ʦʰɑu33
ʨh	tɕʰ	C	288	*ʨhitL;*ʨhoʔH;ʨhi55;a31ʨhot55;saŋ31ʨhi35
ʨʰ	tɕʰ	C	5	ʨʰi22;ʨʰi33;ʨʰi22;ʨʰi33;ʨʰiɑu55
dʐh	ɖʐʰ	C	4	ndʐhɛ˞33;ndʐhə33;ndʐho33;ndʐha33
tʂh	ʈʂʰ	C	140	ŋa31tʂhaŋ31;kă31tʂhə35;tʂhau31;tʂhap35;tʂhau31
V	V/ə	E	2	V-ciːtL;V-pakL
e	e	E	1152	ʔ-mre1ʦa2;le1;re1ʔ-grakH;s-rwe1;gre2
æ	æ	E	216	ʦhæ33;ʦhɑ33væ21;mie33sæ21;hæ33;mɯ55tæ33
ê	ê/e	E	1	ê3
ĕ	ĕ	E	3	sĕ21pjo51;ŋĕ55me55xi55;ŋĕ21noʔ21
ə	ə	E	371	bəla3;bəla3;ʃə-ro2;ʔəpa3;ʔəC-ma3
ɚ	ə˞	E	109	tɚ33;sɚ55;khɚ21;a55mɚ55;dɚ33
ɛ	ɛ	E	479	tɛə55;tɛ33;i33sɛ33;ʈɛ33;ʨhi33ʦɛ33
ɜ	ɜ	E	1	kɜ25
ɝ	ɜ˞	E	37	ȵi33pɝ33le33;sɝ53;sɝ33;la25khɝ21;ʦhu21ɣɝ33
ɤ	ɤ	E	331	min55ɕin55ɤn33;mɯŋ31bɤn31;me33bɤn55;khau55mɤ31;no33pɤk33
ʌ	ʌ	E	30	kɯ33tʂhʌ55;ʨʌ33;mv33ʑi21dʐʌ33;ɣœ33dʐʌ33;zɑ33bʌ33
ẽ	ẽ	E	7	me33hẽ33;hẽ33po33;hẽ33;hẽ33;hẽ31khi31
æʳ	æ˞	E	1	væʳ33
æʴ	æ˞	E	15	kæʴ33;ʂæʴ33;ʂæʴ33;væʴ33;ʐæʴ33
æ˞	æ˞	E	46	ʨæ˞44zɿ33;ʦæ˞33;mu33dæ˞213;mɯ44khæ˞44;ɕæ˞213
əʴ	ə˞	E	9	khuəʴ55;əʴ55ɬi31;ʁua53əʴ31;əʴ55ʂɿ31;əʴ55gu55
ɛ˞	ɛ˞	E	2	ndʐhɛ˞33;ŋɛ˞21
x	x	G	441	xam1;xa2;xa2;xan1;C-xakL
ɣ	ɣ	G	372	*mu1ɣro1;*ɣwo1;*ɣri1;*ʔɣaL;*ʦho1ɣri1
χ	χ	G	9	χa31la53;χa31ʦɿ33ʦɿ55;χa35;χo35;mi33χa33χa55
ɣʵ	ɣʵ/ɣ	G	1	ɣʵu53
ɦ	ɦ	H	4	mbæ35ɦæʴ55;ɦæʴ53;ɦæʴ55ʁuo55;ɦɑ33
ʔ	ʔ	H	357	ʔ-mre1ʦa2;re1ʔ-grakH;ʔ-la1;ʔ-ʦam1kriŋ1;-na2ʔ-baŋ1
*h	h	H	1	*hoŋ1
^h	h	H	208	hapH;hla3;he21;he33;hi44lɔ33pi33
i	i	I	2646	mo1C-dim1;C-mi2;s-nikH;C-nakHʦipL;ʔ-ʦam1kriŋ1
ĩ	ĩ	I	11	tĩ55;hĩ33;ʔhĩ53;ʔhĩ31pæ55;ʔhĩ33bi55
ı	ɨ	I	3	mi31hı33;tı213;xıe21
ɪ	ɪ	I	197	mɪ33;mɪ33ŋɯ22;ʐi22ʨɪ33;ȵɪ21ʉ22;ɪ55kɯ33
ɯ	ɯ	I	848	*mjiʔHŋgjɯ1;*krɯy1;*grɯ1;*slɯ2;*ɣrwɯ2
ɿ	ɨ	I	681	ʂɿ55pʐua55;ʂɿ55mʐuaŋ55;a31ʐɿ55;meʔ31ʦɿ55;ʂɿ55
ʅ	ɨ	I	1	dʐʅ21
iʵ	i˞	I	2	miʵ33;ȵiʵ53
iː	iː	I	1	V-ciːtL
ɯʴ	ɯ˞	I	2	gɯʴ55lɯʴ33;gɯʴ55lɯʴ33
ɯʵ	ɯ˞	I	2	ni33pɯʵ33;kɯʵ55zɔ33
j	j	J	303	m-ji2;ji1;m-je1;jaŋ1;*mjiʔHŋgjɯ1
y	j	J	203	-gray1;gyan2;b-lyapL;r-ywa;-myakH
g	g	K	345	-gray1;gyan2;re1ʔ-grakH;gre2;gyaw2
k	k	K	856	C-sakL;re1ʔ-grakH;kaŋ1;ko2;k-lokL
q	q	K	65	qa33ŋ21kɯ55;o35qo11;o35qo11mv33;mɔ21qɔ33;ɔ31fɯ35qo11
ɢ	ɢ	K	3	ɴɢuo31;ɴɢuo31;mi33ɴɢuo33pa31
gh	gʰ	K	3	ŋghu33mu33;ŋghə33;ŋghɔ33
gʷ	gʷ	K	1	ʔ-gʷəy2
kh	kʰ	K	454	*mu1khu1;*khokL;*khri1;*khwɯ1;*khji1
kʰ	kʰ	K	3	kʰɑu55;kʰe55;kʰui33
kʷ	kʷ	K	1	kʷəy2
qh	qʰ	K	48	qhɔ33;mv53qhɔ53;qhɔ21;nɑ11qhɔ53;qhɛ53
l	l	L	923	bəla3;b-lyapL;le1;plu1;k-lokL
ɬ	ɬ	L	158	ɬo33bo33;mu21ɬu33;ɬo33;i33ɬo33zo21;ɬa21
ɭ	ɭ	L	13	ɭɪ21;ɭo55bɛ22;ɬɛ33ɭo22;ɭɯ55;ɭɯ33
m	m	M	1516	mo2;ʔ-mre1ʦa2;mo2;mo1C-dim1;mo1C-dim1
ṁ	ṁ/m	M	10	shɑṁ2pɑŋ2;hnɑ1luṁ3;gjuṁ2;tɑṁ2khɑ3;tɔŋ2pɑṁ2
N	N/ŋ	N	13	NgwapL;NtakH;NkrokH;NgyökL;NʦukH
n	n	N	1102	gyan2;s-nikH;ne3;C-natL;C-nakHʦipL
ŋ	ŋ	N	885	kaŋ1;ʦaŋ1;daŋ2;ʔ-ʦam1kriŋ1;s-na1kaŋ2
ȵ	ȵ	N	267	ȵen31;ȵɔ31;ȵɔʔ55ʦiʔ31;ȵɔŋ55;ȵot55
ɲ	ɲ	N	3	C-ɲapL;-ɲakH;ɲu55
ɳ	ɳ	N	18	a55ɳə55;ɳɛ33;ɳə55;ɳa33;ɳu2bu2
ɴ	ɴ	N	5	ɴɢuo31;ɴɢuo31;mi33ɴɢuo33pa31;ɴqha53;næ55ɴqhæ53
ɒ	ɒ	O	224	lu44mɒ13;phiɒ53;ʑɒ44;ɳɒ11;ʦhɒ11
b	b	P	509	bəla3;b-lyapL;bəla3;-na2ʔ-baŋ1;m-bliŋ1
p	p	P	664	b-lyapL;plu1;C-nakHʦipL;-papL;-papL
bh	bʰ	P	6	mu33mbha44;mbho33;mbhɔ33;bhɑɑ2li2;bhɔŋ3bhi2
ph	pʰ	P	319	*phlu1;*phwɑŋ2;*phɯʔH;*phlu1;phă31lɔʔ31
pʰ	pʰ	P	4	pʰi33;pʰi25;pʰi25;pʰi33
r	r	R	243	ʔ-mre1ʦa2;-gray1;r-ywa;re1ʔ-grakH;re1ʔ-grakH
ɹ	ɹ	R	61	kɹɯ31lɔ33;mɯ55gɹɯ55;mɯ55ɣɹua33;ɣɹi33gɹa53;ɣɹi33gɹa53
ʁ	ʁ	R	13	ʥu55ʁua55;ma31ʁa31;ʁua53əʴ31;ʁua53hũ31;ʁuo31
s	s	S	778	C-sakL;s-rwe1;s-nikH;C-sakL;s-na1kaŋ2
z	z	S	336	k-zikL;z;m-zəy2;za2-mi2;zəy2
š	ʃ	S	1	C-šikL
ž	ʒ	S	0	
ɕ	ɕ	S	256	ɕɔ55;tʂua31ɕaŋ31;ɕam35;ɕet55;ɑ21ɕi55
ʂ	ʂ	S	251	ʂam55;ʂɿ55pʐua55;ʂɿ55mʐuaŋ55;a31ʂə31;ʂua31
ʃ	ʃ	S	61	ʃə-ro2;ʃe2;C-ʃikL;C-ʃi2;fv55ʃɯ55
ʐ	ʐ	S	290	khʐə55;mau31ʐau31;mau31ʐo55;pum55ʐɵŋ31;pʐaŋ55
ʑ	ʑ	S	266	xan31ʑai55;ʦaŋ31ʑi31;ʑap55;ʑau55;ʑəŋ31
ʒ	ʒ	S	14	ʒa2;ʒo1;ʒaŋ2;ʒv31ma33;ʒu33ɣu55
sh	sʰ	S	20	shi3hnɑŋ3;tɑs4she2;she3;shɑṁ2pɑŋ2;ɑ1shup4
d	d	T	576	mo1C-dim1;daŋ2;daŋ1ʔ-mri2;doŋ1;m-daŋ1
t	t	T	701	C-natL;-wutL;-citL;taŋ2;k-watH
ǆ	dʒ	T	4	ǆway1;ǆa1;ǆa2;ǆay2
ɖ	ɖ	T	18	ɖo21;ɖɛ33;ɖi33;ɖʉ22;mə33ɖu33
ʈ	ʈ	T	10	ʈɛ33;ʈo33le21;ʈi33;ʈi33;ʈo33
ʤ	dʒ	T	4	ʤu31;ʤi33phɯ31;ʤi33;ʤu33
ʧ	tʃ	T	51	ʧut55;u31ʧɿ31ʧɿ31;u31ʧɿ31ʧɿ31;u31ʧɿ31ȵi55ma31khɛ33;ʧɿ31xu31
dh	dʰ	T	6	zu33ndhu33;ndho33;ndhu21;ndhu33;ndhi55
th	tʰ	T	251	*thɯ2slɯ2;*thu1;*thakH;*tha2;thum31
tʰ	tʰ	T	2	tʰɑu22;tʰɑ33
ʈh	ʈʰ	T	17	ʈho33;ʈhi21;i33ʈho33;i33ʈho21;ʈhi21
ʧh	tʃʰ	T	40	v55ʧhv31;ʧhɛ55;a31ʧhɿ31;ʧhɿ55zɔ31;fv33ʧha31
trh	tʰ	T	1	*trhə1
o	o	U	1746	mo2;mo2;mo1C-dim1;ko2;k-lokL
õ	õ	U	8	ʔõ21;ʔõ33;hõ33;hõ35;mo44hõ44
ö	ö/œ	U	7	s-nökH;s-yökL;s-yökL;ʔ-pökH;NgyökL
ø	ø	U	55	ʥo31xø31;a31xø31;sa31jø31;a31ɣø33;a55zø31
ŏ	ŏ	U	11	tʂhŏŋ55;lŏ55mo55;nŏ21phjo21;ʃŏ21vui21;ʃŏ21ku55
œ	œ	U	10	ʦhœ42;phrœ55;ɬœ42;pœ55;mœ55
ɔ	ɔ	U	766	*ɣwɔŋ2;ni31mɔ31;phă31lɔʔ31;tɔŋ55;pau51lɔ35
ɵ	ɵ	U	29	pum55ʐɵŋ31;a31xɵ35;tɵɑm2;ɑ1tɵɑk4;tɵwɑ3
w	w	W	143	r-ywa;s-rwe1;swa2;wam2;gyaw2
u	u	Y	2221	plu1;u2;-wutL;ʔu1;-gru2
û	û/u	Y	2	û3le3;û1
ũ	ũ	Y	7	ʔũ21zu21;ʁua53hũ31;ʔũ55;ʔũ33ka55;ʔũ55
ʉ	ʉ	Y	39	ȵɪ21ʉ22;gʉ22bɯ22;xʉ22ba21;dʉ22;dʉ22
ʊ	ʊ	Y	47	mɑŋ44pʊ53;ha33bʊ33;ʂʊ33;mʊ33;gʊ33mʊ33
u˞	u˞	Y	1	nu˞33
-	+	_	171	ʔ-mre1ʦa2;-gray1;b-lyapL;r-ywa;re1ʔ-grakH
^ȼ-	C/k +	_	2	ȼ-krokL;ȼ-cakL
11	¹¹ +	1 _	42	mv55tɔ11tɔ11;xɑ35ɯ11phɑ53;o35qo11mv33;nɑ11qhɔ53;nɑ11pɔ33
24	²⁴ +	2 _	11	ho24go33;kɤ24za31;pɛ24mɤ33;ʦho33ɤ24ma33;na24ʦhɿ31
35	³⁵ +	2 _	63	tʂap35tʂap35;ta35me31;khɯ35lua33;m35khv31;na35khv33
21	²¹ +	3 _	566	ɑ21ɕi55;mu21phi33;mu21dɯ21;mu21lua55;mu21ɬu33
31	³¹ +	3 _	499	ŋa31tʂhaŋ31;ni31mɔ31;phă31lɔʔ31;mau31ʐau31;ʦhă31pjik55pjik55
42	⁴² +	3 _	33	njɯ42ɔ33;ʦho55na42tɯ44;mja42mrø55m42;ɬi42phjə33;mi42tha55xo42
51	⁵¹ +	3 _	16	pau51lɔ35;mji51kuŋ51;lă21jaŋ51nun55;ʃam51toʔ55;phan51ʦau21
53	⁵³ +	3 _	99	no53ma33;zɿ53ma33;la53pha55;so53ma33ko31;ʦo53ʦɿ35
54	⁵⁴ +	3 _	8	mɛ54ɕi11;phɛ35nɑ54ɕi11;fɑ54ʨhɑ21;pɑ11tɛ54nɛ54;xɛ54dɔ31
33	³³ +	4 _	1038	mi33dɯ21;ɬo33bo33;tʂa33zo21;mi33ʨhi21;mu33tɯ55
44	⁴⁴ +	5 _	257	a44ba21;na44ʦhɿ33;ni44mɔ33;ni44mɔ33ȵi33;ʔi44se33
55	⁵⁵ +	5 _	689	ʦhă31pjik55pjik55;pum55ʐɵŋ31;tʂo55kʐə31;it55mɔʔ55;ʂɿ55pʐua55
1	¹ +	6 _	381	ʔ-mre1ʦa2;mo1C-dim1;re1ʔ-grakH;ʔ-ʦam1kriŋ1;s-na1kaŋ2
2	² +	6 _	307	-na2ʔ-baŋ1;za2-mi2;*slo2bo2;*guŋ2po1;*ŋwi2pu2
3	³ +	6 _	110	*ʔo3kpa1;khe32tʂɔ33;ji323ʨa53;ji323ʨa53;ŋ323
4	⁴ +	6 _	7	hljɑp4prɑk4;ip4mɑk4;lip4prɑɑ2;tɑs4she2;mjɑk4se1
5	⁵ +	6 _	7	la25khɝ21;xɯ25pɯ22;sɑ25pɯ22;mɝ25lɯ33;ve25lu33
ʔh	ʔ h	H H	5	ʔhĩ53;ʔhĩ31pæ55;ʔhĩ33bi55;ʔhĩ31;ʔhĩɔ53
C-	C/k +	K _	40	C-sakL;mo1C-dim1;C-mi2;C-sakL;C-makH
…h	+ h	_ H	1	twɑŋ2…hri1
11h	¹¹ + h	1 _ H	1	m11hɒ33
24h	²⁴ + h	2 _ H	0	
35h	³⁵ + h	2 _ H	0	
21h	²¹ + h	3 _ H	3	sə21hu33;ɑ55m21hɑ33;ʣɑ21hæ33
31h	³¹ + h	3 _ H	3	mi31hı33;mɯ31hɑ33;ʨhi31hĩ31
42h	⁴² + h	3 _ H	0	
51h	⁵¹ + h	3 _ H	0	
53h	⁵³ + h	3 _ H	2	ʁua53hũ31;zɿ53hʌ53
54h	⁵⁴ + h	3 _ H	0	
33h	³³ + h	4 _ H	20	mi33hi21;ʑe33ho21;me33hẽ33;mi33hi33;ɑ33hɑ55
44h	⁴⁴ + h	5 _ H	6	ʔi44hi33mo44;mi44hi33;mu44ho33;mɛ44hɛ44;mo44hõ44
55h	⁵⁵ + h	5 _ H	3	a55ho21le33;a55ho21;bæ55hĩ55
1h	¹ + h	6 _ H	2	ɑ1hmi2lok4;khu1hnɑs4
2h	² + h	6 _ H	1	ŋɑ1ljɑŋ2hlup4
3h	³ + h	6 _ H	3	shi3hnɑŋ3;lu3hlim1;lɑi3hlɑj2
4h	⁴ + h	6 _ H	1	hnɑp4hȵɑs4
5h	⁵ + h	6 _ H	0
