Grapheme	IPA	SCA	FREQUENCY	EXAMPLES
_$	NULL
^_	NULL
*_	NULL
^-	NULL
ŋg	ⁿg
^ŋg	ⁿg
əy	əi̯
21_	²¹ +
33_	³³
^ŋgh	ⁿgʰ
2…	² +
-$	NULL
h	h
^	NULL		11473	mo2;ʔ-mre1ʦa2;mo2;bəla3;-gray1
$	NULL		259	C-sakL;b-lyapL;r-ywa;re1ʔ-grakH;k-lokL
*	NULL		299	*ni2;*mu1;*mri1;*mjiʔHŋgjɯ1;*slo2bo2
11$	¹¹	1	162	lɑ53xo11;mv55tɔ11tɔ11;lɔ33tɑ11;ɑ31mi11;xɑ35pɯ33ɕi11
24$	²⁴	2	27	tɤ24;mi31ma24;sa24;ʦɿ24;ʨa24
35$	³⁵	2	305	in31san35;pau51lɔ35;ŋeŋ35;saŋ31ʨhi35;ʨhi31ȵaŋ35
21$	²¹	3	1705	lum21;mi33dɯ21;tʂa33zo21;mu21dɯ21;mi33ʨhi21
31$	³¹	3	983	ŋa31tʂhaŋ31;mau31;ni31mɔ31;phă31lɔʔ31;mau31ʐau31
42$	⁴²	3	64	ʦho55na42;pu33ɬɔ42;mja42mrø55m42;mi42tha55xo42;phru42
51$	⁵¹	3	67	mauʔ51;ʦau31va51;mau21khuŋ51;mji51kuŋ51;pui51
53$	⁵³	3	420	pha53;sa53;ji323ʨa53;kho53;ɣa31ŋ53
54$	⁵⁴	3	41	i35kɑ54;zi21mɑ54;ɔ31ʦhi53pho54;ɔ31ɣu31tɛ54;ɔ31ku53ʨɑ54
33$	³³	4	3692	mu21phi33;li55ʨi33;ɬo33bo33;tɛ33;mu21ɬu33
44$	⁴⁴	5	430	ȵu33ʦe44;le33phe44;vu33pu44;xɔ33ʑy33ka44;ʔi44hi33mo44
55$	⁵⁵	5	2114	mi55;khʐə55;sui55;ʦhă31pjik55pjik55;li55
H	H/⁵	6	107	re1ʔ-grakH;s-nikH;C-makH;C-nakHʦipL;-myakH
L	L/¹	6	129	C-sakL;b-lyapL;k-lokL;C-sakL;C-natL
L_	L/¹ +
H_	H/⁵ +
2-	² +
2_$	²
H_$	H/⁵
L_$	L/¹
1_$	¹
bama_saka	b a + m a + s a + k a
ŋgh	ⁿgʰ
1$	¹	6	292	-gray1;mo1C-dim1;le1;kaŋ1;s-rwe1
2$	²	6	491	mo2;ʔ-mre1ʦa2;mo2;gyan2;C-mi2
3$	³	6	513	bəla3;bəla3;ne3;ni3;ʔəpa3
4$	⁴	6	77	hljɑp4prɑk4;ŋɑ1ljɑŋ2hlup4;kɑm3pɑ3prɑt4;kjɔk4;hnɑs4
5$	⁵	6	39	kə335;xɔ21ta25;ɣɔ25;ʑi25;ve25
a	a	A	2347	ʔ-mre1ʦa2;bəla3;-gray1;C-sakL;gyan2
ã	ã	A	10	ʑi21fã22;ʐuã21;ʧã33;gɯ213dɯ213fã33;nã44
ă	ă	A	9	phă31lɔʔ31;ʦhă31pjik55pjik55;kă31tʂhə35;kă31ʦheʔ31;pă31tu35
ɑ	ɑ	A	891	*phwɑŋ2;*pwɑŋ1;*ŋiɑ1;ɑ21ɕi55;tɑ55
f	f	B	100	fa33;fɯ55;fu33;fɯ55;ʑi21fã22
v	v	B	605	*vi1;ve31;vən55;ve55;a33vu33
c	c	C	11	can1;-citL;cu2;m-cikH;V-ciːtL
ǳ	dz	C	15	*ǳwy1;*ǳrɯ1;*ǳro1;*ǳro2;*nǳra1
